,id,text,label,dataset
15166,15524,rt [USER]: them hoes ain't solid “[USER]: i laugh so hard when females be all in my dms but they have a avi picture with the…,0,davidson2017
21956,22423,this bitch forehead. hairline. who lied to her & approved this shit 😂😂😂 [URL],0,davidson2017
12042,12348,jazz jumbo dick corporations. making bitches tap out since 1999,0,davidson2017
2120,2163,' you deserve x august alsina 󾮞󾮞 im dedicating that to all my old side hoes 󾌴󾌴󾌴󾌴󾌺󾌺󾌺󾌺󾌺󾮟 .,0,davidson2017
16517,16896,"rt [USER]: i have so many questions about that sex tape. i love love love me some mimi and if that thirsty dude releases it, he's trash…",0,davidson2017
20949,21400,so ghetto.,0,davidson2017
7388,7599,"[USER] does ""smdh"" stand for ""suck my dick, hoe""?",0,davidson2017
19751,20190,rt [USER]: [USER] is a pussy,0,davidson2017
19955,20396,rt [USER]: bitches be fallin so inlove w. niggass & then he go get a new bitch & they try go get a new nigga to try to forget about the …,1,davidson2017
5848,6014,[USER] you can be a bad bitch too dex its okay,0,davidson2017
6009,6180,"[USER] whatever hoe bitch 1 them ""fags"" beat yall sad asses too",1,davidson2017
7500,7714,aerin told me to leave them lightskin boys alone. shit bitch i did ✋😂,0,davidson2017
21706,22170,these ut hoes be goin !!!!!!,0,davidson2017
2569,2626,[USER] [USER] obama's bitch!,0,davidson2017
7867,8088,aye it's a lot of niggas out here that can't fuck a bad bitch unless they get her drunk smh preach,0,davidson2017
7251,7458,[USER] dam this hoes should be working at microsoft,0,davidson2017
23737,24231,damn bitch lmao,0,davidson2017
8297,8527,cam newton is such a little girl like grow up and quit actin like a bitch,0,davidson2017
15706,16074,rt [USER]: the fox says you're a cunt.,1,davidson2017
21295,21756,"teacher: ""why am i hearing talking!?"" ... because you have ears bitch.",0,davidson2017
15921,16290,rt [USER]: in 5 years these hoes ain't gone be shit but a dick head!,0,davidson2017
14941,15297,"rt [USER]: [USER] [USER] you're tweeting at the cringiest people in darth here. and dana is our bitch lmao, she follows our r…",0,davidson2017
20721,21170,"she don't get emojis until after i bag, emojis are pussy shit",0,davidson2017
85,85,"""[USER]: [USER] [USER] queer"" gaywad",1,davidson2017
16673,17057,rt [USER]: that bitch is dirty [URL],0,davidson2017
22026,22493,this class ghetto as hell,0,davidson2017
9315,9571,"fuck your dreads fire it up hoe rt while we watch ""this is the end""",0,davidson2017
5851,6017,[USER]  every bitches claim,0,davidson2017
7706,7923,"amennn!!!!! ""[USER]: if your girlfriend doesn't like that bitch, you don't talk to that bitch""",0,davidson2017
13365,13694,niggaz retweet bitch ass niggaz but won't retweet a real nigga,0,davidson2017
12440,12752,like stop being a bitch for 3.2 seconds.,0,davidson2017
17580,17979,rt [USER]: did the yankees make the playoffs and properly honor jeter? rt [USER]: orioles win?,0,davidson2017
2215,2260,"12 was like ""blocked bitch"" “[USER]: don't start ""[USER]: they are blocking us in ferguson [URL]",0,davidson2017
1611,1646,"“[USER]: fuck a ""bad bitch"" id rather have a good girl who's a freak just for me 10/10 times 😍😍”",0,davidson2017
13549,13883,oh she is rt [USER]: [USER] i respect that because bitches can be spiteful when it come to children,0,davidson2017
9658,9922,happy birthday [USER] i love you faggot,0,davidson2017
24068,24569,im a fat bitch [URL],0,davidson2017
12541,12853,lmaoooooooo rt [USER]: you woke up a faggot didnt you rt [USER]: my nigga ain't get carded since i was a sophomore b,0,davidson2017
11928,12232,it's a recession on everything rt [USER] chasing pussy is never attractive!,0,davidson2017
10043,10316,i be joked out at half the broads on here that brag about how good they pussy/head game is...,0,davidson2017
19755,20194,rt [USER]: bae: go talk to your other hoes me: [URL],0,davidson2017
5611,5772,[USER] them hoes look good,0,davidson2017
10823,11104,"i put it ona bitch make her bang ma set 👌 i gave this hoe dick , i came i left ✌️",0,davidson2017
859,878,"porn,android,i phone,i pad,sex,xxx, | anal | blonde tranny ass fucked [URL]",0,davidson2017
24407,24913,she caught three nuts but she never catch feelings and bitch wit dat disposition we can count millions,0,davidson2017
1564,1598,“[USER]: miss you [USER]” pussy,0,davidson2017
17732,18133,rt [USER]: when you in a public place and ya side hoes come outta no where 😭 [URL],0,davidson2017
12914,13233,"mother asked what i wanted for christmas this year. replied with for her to not go crazy, and my sister to not be a bitch.",0,davidson2017
7425,7636,a fat bitch > rt [USER]: a strong black woman > rt [USER]: kim>kourtney>kendall>khloe> kylie,0,davidson2017
20391,20837,rt [USER]: i let these bitches talk. that's just free promotion 👏.,0,davidson2017
5236,5391,[USER] lol da only reason i can't talk bout da present is cuz my nicca hurt n ain't played all yr,0,davidson2017
2919,2990,[USER] cdfu bitch you fried,0,davidson2017
17876,18278,rt [USER]: wow so the dolphin asked her to marry him and she kisses the other guy right in front of her rude ass bitch [URL],0,davidson2017
22230,22700,tonight starts the road the super bowl for the [USER]! here we go brownies here we go! woof woof brown s2014 draft,0,davidson2017
4691,4829,[USER] 😂 yea ion do brussel sprouts .. i barely do cordon bleu but i wanted to try something dif .. i get tired of nigger foods,0,davidson2017
17442,17839,rt [USER]: this bitch doesn't know what she wants.. [URL],0,davidson2017
16957,17345,"rt [USER]: dear mr. science: if human so ""better,"" how come they can't be bird? oh i'm sorry was that too logic for you????",0,davidson2017
8261,8491,but they only talk on twitter bc pussies in real life,0,davidson2017
24275,24779,"niggas wait in line for jordan releases, puttin they life on the line, jus to impress some bitches",0,davidson2017
20855,21306,"since cats lick themselves all the time, they should be great at eattin pussy",0,davidson2017
6322,6503,[USER] oh i forgot you retarded lol lemme break it down for you where the bg hoes at lmao,0,davidson2017
3606,3703,"[USER] that's ""energy"" the city is ""electric"" gotta go to yankees stadium, when they are winning. it is truly ""electrifying""",0,davidson2017
3597,3693,[USER] faggot,1,davidson2017
24379,24884,raaa bitch raaa,0,davidson2017
13509,13842,omg rt [USER]: have yall ever met a dyke who didn't have a kid?,0,davidson2017
15493,15857,rt [USER]: top ten rappers with no hoes 1.hopsin 2.lupe 3.canibus 4.imt 5.childish g 6.papoose 7.hopsin again 8.joell ortiz 9.krs …,0,davidson2017
18295,18702,rt [USER]: these bitches play on everybody's team,0,davidson2017
5857,6023,[USER]  was just wondering if yo espect to add mo colored tv stations befo i renew dis,0,davidson2017
8954,9201,esp when bitches are after my leftover always hyping niggas. i made him pick another ugly nigga to put on top.,0,davidson2017
7142,7343,[USER] i didn't tag you negro lol,0,davidson2017
4309,4436,[USER] what's up nigger 😁,0,davidson2017
2602,2661,[USER] [USER] your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,1,davidson2017
16569,16949,rt [USER]: you hoes need to stop dressing y'all kids as migos and rappers that y'all fucked. lil nigga just wanted to be a power ran…,1,davidson2017
10279,10557,i feel bad for her nicca tho ... ya girl a hoe my nicca!,0,davidson2017
14904,15260,rt [USER]: ion ask nobody for shit . ever . never have a problem doing shit fa people neither but damn can a bitch get a thank you ?,0,davidson2017
20117,20562,rt [USER]: charlie crist leads rick scott in a florida governor's race where every vote will matter [URL],0,davidson2017
14026,14366,rt [USER]: mama told me look rich act poor n neva trip ona bitch dat ain't ursgang,0,davidson2017
22103,22571,"this nicca just typed to me...""you are very busy two!"" 😒😣 so, i'm busy twice? lmao",0,davidson2017
24402,24907,segment finally did it. never again watching tea bagger propaganda in the morning on msnbc again. [USER] on current tv for me morning joe,0,davidson2017
17026,17416,rt [USER]: 22. but we make it and this bitch sits on the couch and turns on ice age the movie and asks us if were hungry like we arent t…,0,davidson2017
19001,19424,"rt [USER]: u do realize when you say ""omg my ex downgraded lol xddd"" it makes you seem like a creepy little cunt that can't seem to de…",0,davidson2017
5313,5469,[USER] bitches love some alex from target 😏,0,davidson2017
17780,18181,rt [USER]: [USER] [USER] jealous bitch. 😂,0,davidson2017
19296,19725,rt [USER]: lol what a fake bitch,0,davidson2017
14673,15023,rt [USER]: david pulls bitches “[USER]: tweet something you get a lot go talk to all your other hoes”,0,davidson2017
13019,13338,"my dads side of the family is ghetto af, my moms side if the family all prim and proper. haha",0,davidson2017
20640,21088,scott told me at work today he wants to come over to get me drunk and then seduce my girlfriend...🔫🔪 i'll kill you bitch 😡,0,davidson2017
4196,4320,[USER] wake and bake before school hoe !!!,0,davidson2017
66,66,"""[USER]: [URL] woof woof and hot soles",0,davidson2017
21262,21723,tmz hoes [URL],0,davidson2017
4965,5111,"[USER] what are you gonna do? i'ma chase you out the club, like mobb deep did to you, pussy.",0,davidson2017
20899,21350,smh hate that hoe,1,davidson2017
20838,21289,shylock & wongs: 3 incidents of democrat bigotry in 3 weeks - media mum [URL] via [USER],0,davidson2017
16381,16754,rt [USER]: a bitch a get chalked b4 i catch feelings,0,davidson2017
20451,20897,rt to spam this bitch ass nigga rt [USER]: migos [URL],0,davidson2017
10016,10288,i always wanted a bull dog them hoes clean fuck a pit,0,davidson2017
8378,8609,cant play no games wit deze niggas or bitches 🙅🔫,0,davidson2017
2563,2620,[USER] my grandpa has better comebacks and he's dead you faggot go outside and let go of your little ass dick for a minute,0,davidson2017
